ts,observer,event,slot,hash,issuer_vkey,body_size,n_txs
2026-05-16T15:20:03Z,dugite-relay,recv,311,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,,,
2026-05-16T15:20:04Z,dugite-bp,recv,311,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,,,
2026-05-16T15:20:16.003284Z,cardano-bp,forge,324,2fede9a40462029aa98641f494fa5eb1db91a29d80dd10b879c4318a52c479a7,,,
2026-05-16T15:20:16.004536Z,cardano-bp,recv,324,2fede9a40462029aa98641f494fa5eb1db91a29d80dd10b879c4318a52c479a7,,,
2026-05-16T15:20:16.00477Z,cardano-bp,forge,324,2fede9a40462029aa98641f494fa5eb1db91a29d80dd10b879c4318a52c479a7,,,
2026-05-16T15:20:17Z,dugite-relay,recv,324,2fede9a40462029aa98641f494fa5eb1db91a29d80dd10b879c4318a52c479a7,,,
2026-05-16T15:20:18Z,dugite-bp,recv,324,2fede9a40462029aa98641f494fa5eb1db91a29d80dd10b879c4318a52c479a7,,,
2026-05-16T15:20:21.003236Z,cardano-bp,forge,329,b6085ebfa3fbfa21b4cd9af43ce09a14b7626a45c22da4a46ea559f8e0d28ea8,,,
2026-05-16T15:20:21.004951Z,cardano-bp,recv,329,b6085ebfa3fbfa21b4cd9af43ce09a14b7626a45c22da4a46ea559f8e0d28ea8,,,
2026-05-16T15:20:21.005265Z,cardano-bp,forge,329,b6085ebfa3fbfa21b4cd9af43ce09a14b7626a45c22da4a46ea559f8e0d28ea8,,,
2026-05-16T15:20:21Z,dugite-relay,recv,329,b6085ebfa3fbfa21b4cd9af43ce09a14b7626a45c22da4a46ea559f8e0d28ea8,,,
2026-05-16T15:20:22Z,dugite-bp,recv,329,b6085ebfa3fbfa21b4cd9af43ce09a14b7626a45c22da4a46ea559f8e0d28ea8,,,
